# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S21;im:Trc2_S21;
2.400000000000000E+009;1.560705304145813E-001;1.056138426065445E-001;5.014454014599323E-003;-6.384697742760181E-003;
2.400166666666667E+009;1.555369198322296E-001;1.039691790938377E-001;5.196634214371443E-003;-6.207942031323910E-003;
2.400333333333334E+009;1.566254347562790E-001;1.019300669431686E-001;5.067049525678158E-003;-6.907282397150993E-003;
2.400500000000000E+009;1.569013148546219E-001;9.872350841760635E-002;4.832873586565256E-003;-7.001559715718031E-003;
2.400666666666667E+009;1.573770940303803E-001;9.655734151601791E-002;4.477808717638254E-003;-7.118376903235912E-003;
2.400833333333334E+009;1.575539410114288E-001;9.410575032234192E-002;4.451976623386145E-003;-7.182777859270573E-003;
2.401000000000000E+009;1.578853875398636E-001;9.138525277376175E-002;4.242183174937964E-003;-7.259949110448360E-003;
2.401166666666667E+009;1.581494659185410E-001;8.882815390825272E-002;4.092406481504440E-003;-7.543809246271849E-003;
2.401333333333334E+009;1.586249023675919E-001;8.607977628707886E-002;3.937479574233294E-003;-7.702998816967011E-003;
2.401500000000000E+009;1.591048091650009E-001;8.357756584882736E-002;3.620557254180312E-003;-7.908139377832413E-003;
2.401666666666667E+009;1.595318019390106E-001;8.101593703031540E-002;3.530386369675398E-003;-7.993535138666630E-003;
2.401833333333334E+009;1.602403074502945E-001;7.850795239210129E-002;3.082573879510164E-003;-8.314100094139576E-003;
2.402000000000000E+009;1.611537486314774E-001;7.592320442199707E-002;2.831065328791738E-003;-8.435573428869247E-003;
2.402166666666667E+009;1.619878560304642E-001;7.342269271612167E-002;2.703761216253042E-003;-8.406661450862885E-003;
2.402333333333334E+009;1.628374308347702E-001;7.099400460720062E-002;2.266583265736699E-003;-8.633569814264774E-003;
2.402500000000000E+009;1.639361530542374E-001;6.867525726556778E-002;2.140398370102048E-003;-8.707419969141483E-003;
2.402666666666667E+009;1.650783121585846E-001;6.645854562520981E-002;1.644691103138030E-003;-8.668266236782074E-003;
2.402833333333334E+009;1.661991477012634E-001;6.415217369794846E-002;1.415536971762776E-003;-8.685722947120667E-003;
2.403000000000000E+009;1.675123572349548E-001;6.192906945943832E-002;1.039502560161054E-003;-8.615043014287949E-003;
2.403166666666667E+009;1.690468490123749E-001;5.994366481900215E-002;8.308964897878468E-004;-8.846140466630459E-003;
2.403333333333334E+009;1.702065765857697E-001;5.806736648082733E-002;5.119907436892390E-004;-8.634211495518684E-003;
2.403500000000000E+009;1.719293594360352E-001;5.621695145964623E-002;2.327223483007401E-004;-8.565933443605900E-003;
2.403666666666667E+009;1.733653247356415E-001;5.422474816441536E-002;-1.816419353417587E-005;-8.834918960928917E-003;
2.403833333333334E+009;1.748726218938828E-001;5.242311581969261E-002;-5.265420186333358E-004;-8.616046980023384E-003;
2.404000000000000E+009;1.760872304439545E-001;5.089525878429413E-002;-6.428123451769352E-004;-8.617456071078777E-003;
2.404166666666667E+009;1.777790933847427E-001;4.920910298824310E-002;-9.382264688611031E-004;-8.595149032771587E-003;
2.404333333333334E+009;1.790992766618729E-001;4.783503711223602E-002;-1.131777185946703E-003;-8.564207702875137E-003;
2.404500000000000E+009;1.802890002727509E-001;4.643803834915161E-002;-1.645645359531045E-003;-8.577997796237469E-003;
2.404666666666667E+009;1.818538904190064E-001;4.533332213759422E-002;-1.829343033023179E-003;-8.423721417784691E-003;
2.404833333333334E+009;1.832685768604279E-001;4.427505284547806E-002;-2.137846080586314E-003;-8.302734233438969E-003;
2.405000000000000E+009;1.843801587820053E-001;4.366378486156464E-002;-2.341122366487980E-003;-8.332584984600544E-003;
2.405166666666667E+009;1.855763643980026E-001;4.277043789625168E-002;-2.531988779082894E-003;-8.044582791626453E-003;
2.405333333333334E+009;1.867414414882660E-001;4.215262457728386E-002;-2.858235267922282E-003;-8.044558577239513E-003;
2.405500000000000E+009;1.878944933414459E-001;4.160275310277939E-002;-3.200682112947106E-003;-7.976934313774109E-003;
2.405666666666667E+009;1.889307945966721E-001;4.109742492437363E-002;-3.519800491631031E-003;-7.931735366582871E-003;
2.405833333333334E+009;1.900520473718643E-001;4.059730097651482E-002;-3.652634099125862E-003;-7.717731408774853E-003;
2.406000000000000E+009;1.907891929149628E-001;4.029666259884834E-002;-3.792705247178674E-003;-7.369574159383774E-003;
2.406166666666667E+009;1.917238980531693E-001;3.998529911041260E-002;-4.045268986374140E-003;-7.342943456023932E-003;
2.406333333333334E+009;1.925491839647293E-001;3.985104337334633E-002;-4.377719480544329E-003;-7.097573019564152E-003;
2.406500000000000E+009;1.930390596389771E-001;3.962277621030808E-002;-4.554844461381435E-003;-6.911050993949175E-003;
2.406666666666667E+009;1.935732811689377E-001;3.942983970046043E-002;-4.795930813997984E-003;-6.835294421762228E-003;
2.406833333333334E+009;1.939799785614014E-001;3.933267295360565E-002;-4.920173436403275E-003;-6.730037741363049E-003;
2.407000000000000E+009;1.942109763622284E-001;3.929571062326431E-002;-5.103207658976317E-003;-6.401130929589272E-003;
2.407166666666667E+009;1.946276873350143E-001;3.878158330917358E-002;-5.243503022938967E-003;-6.351657211780548E-003;
2.407333333333334E+009;1.945724338293076E-001;3.870692476630211E-002;-5.454775877296925E-003;-5.908889230340719E-003;
2.407500000000000E+009;1.945639103651047E-001;3.861926123499870E-002;-5.590283777564764E-003;-5.873193033039570E-003;
2.407666666666667E+009;1.945927292108536E-001;3.836133703589439E-002;-5.724968854337931E-003;-5.866727326065302E-003;
2.407833333333334E+009;1.942294985055924E-001;3.808939456939697E-002;-5.989687982946634E-003;-5.626318976283073E-003;
2.408000000000000E+009;1.941293776035309E-001;3.766394779086113E-002;-5.906381644308567E-003;-5.369923077523708E-003;
2.408166666666667E+009;1.936277151107788E-001;3.717127814888954E-002;-6.189475767314434E-003;-5.149687640368938E-003;
2.408333333333334E+009;1.934050321578980E-001;3.640514984726906E-002;-6.197315640747547E-003;-5.012584850192070E-003;
2.408500000000000E+009;1.930147856473923E-001;3.607346490025520E-002;-6.446063518524170E-003;-4.664507228881121E-003;
2.408666666666667E+009;1.924400031566620E-001;3.539554774761200E-002;-6.303715519607067E-003;-4.454494453966618E-003;
2.408833333333334E+009;1.918120831251144E-001;3.437437862157822E-002;-6.479367613792419E-003;-4.396627191454172E-003;
2.409000000000000E+009;1.911015361547470E-001;3.345040231943131E-002;-6.453591864556074E-003;-4.130817018449307E-003;
2.409166666666667E+009;1.903245002031326E-001;3.250474482774735E-002;-6.723946426063776E-003;-3.896782640367746E-003;
2.409333333333334E+009;1.898033320903778E-001;3.126144036650658E-002;-6.567480973899365E-003;-3.678747918456793E-003;
2.409500000000000E+009;1.888199001550674E-001;2.988946437835693E-002;-6.680249702185392E-003;-3.494394244626164E-003;
2.409666666666667E+009;1.880057305097580E-001;2.848811633884907E-002;-6.649649702012539E-003;-3.349025268107653E-003;
2.409833333333334E+009;1.872506141662598E-001;2.711362764239311E-002;-6.657562218606472E-003;-3.182630985975266E-003;
2.410000000000000E+009;1.865366995334625E-001;2.550882846117020E-002;-6.737267598509789E-003;-2.968601649627090E-003;
2.410166666666667E+009;1.856461912393570E-001;2.376006729900837E-002;-6.632931996136904E-003;-3.023850964382291E-003;
2.410333333333334E+009;1.850061714649200E-001;2.212996594607830E-002;-6.649196613579989E-003;-2.805193886160851E-003;
2.410500000000000E+009;1.842493563890457E-001;2.024032175540924E-002;-6.697784177958965E-003;-2.656544791534543E-003;
2.410666666666667E+009;1.835983246564865E-001;1.807030290365219E-002;-6.966790184378624E-003;-2.672176575288177E-003;
2.410833333333334E+009;1.830174028873444E-001;1.607565954327583E-002;-6.681944243609905E-003;-2.549895551055670E-003;
