# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S21;im:Trc2_S21;
2.400000000000000E+009;1.574765741825104E-001;6.295818835496903E-002;1.162886037491262E-003;-6.933713448233903E-004;
2.400166666666667E+009;1.573552638292313E-001;6.142478063702583E-002;1.235095434822142E-003;-6.871296791359782E-004;
2.400333333333334E+009;1.572537869215012E-001;5.928070098161697E-002;1.175993122160435E-003;-6.895514088682830E-004;
2.400500000000000E+009;1.573788076639175E-001;5.727616697549820E-002;1.138807623647153E-003;-6.852824590168893E-004;
2.400666666666667E+009;1.571603119373322E-001;5.511511117219925E-002;1.251751207746565E-003;-8.376374025829136E-004;
2.400833333333334E+009;1.574273854494095E-001;5.325841158628464E-002;1.191067043691874E-003;-8.282734197564423E-004;
2.401000000000000E+009;1.574453264474869E-001;5.123052000999451E-002;1.249079476110637E-003;-9.117369190789759E-004;
2.401166666666667E+009;1.575782150030136E-001;4.892716929316521E-002;1.244946266524494E-003;-1.245562219992280E-003;
2.401333333333334E+009;1.576832532882690E-001;4.700104147195816E-002;1.149573014117777E-003;-1.213489798828960E-003;
2.401500000000000E+009;1.581798046827316E-001;4.475355520844460E-002;1.284867990761995E-003;-1.138794468715787E-003;
2.401666666666667E+009;1.585191488265991E-001;4.288858920335770E-002;1.192917581647635E-003;-1.304802834056318E-003;
2.401833333333334E+009;1.588778346776962E-001;4.068835079669952E-002;1.201281556859613E-003;-1.333544612862170E-003;
2.402000000000000E+009;1.592895686626434E-001;3.871927037835121E-002;1.292689354158938E-003;-1.425421913154423E-003;
2.402166666666667E+009;1.599382013082504E-001;3.656066954135895E-002;1.285505364648998E-003;-1.492700073868036E-003;
2.402333333333334E+009;1.603439599275589E-001;3.469061106443405E-002;1.148663577623665E-003;-1.677670283243060E-003;
2.402500000000000E+009;1.613748818635941E-001;3.289239108562470E-002;1.216032425872982E-003;-1.722568762488663E-003;
2.402666666666667E+009;1.619493961334229E-001;3.130637109279633E-002;1.067135483026505E-003;-1.700844266451895E-003;
2.402833333333334E+009;1.628582924604416E-001;2.952000498771668E-002;1.101855305023491E-003;-1.841036253608763E-003;
2.403000000000000E+009;1.634175479412079E-001;2.793851122260094E-002;1.167181530036032E-003;-1.857626368291676E-003;
2.403166666666667E+009;1.646553128957748E-001;2.648288384079933E-002;1.083850511349738E-003;-2.026115311309695E-003;
2.403333333333334E+009;1.654051840305328E-001;2.487299591302872E-002;9.442529408261180E-004;-2.182149095460773E-003;
2.403500000000000E+009;1.663903295993805E-001;2.350046485662460E-002;9.857784025371075E-004;-1.905018230900168E-003;
2.403666666666667E+009;1.674294173717499E-001;2.191117964684963E-002;8.719037869013846E-004;-2.214369131252170E-003;
2.403833333333334E+009;1.684644222259522E-001;2.089895494282246E-002;8.512340136803687E-004;-2.278476022183895E-003;
2.404000000000000E+009;1.694873124361038E-001;1.979995518922806E-002;9.917606366798282E-004;-2.468183869495988E-003;
2.404166666666667E+009;1.703598052263260E-001;1.858859509229660E-002;6.706230342388153E-004;-2.440787851810455E-003;
2.404333333333334E+009;1.713984757661820E-001;1.776689849793911E-002;7.878551259636879E-004;-2.421733224764466E-003;
2.404500000000000E+009;1.723799705505371E-001;1.666673086583614E-002;7.527265115641058E-004;-2.745652338489890E-003;
2.404666666666667E+009;1.733299493789673E-001;1.594630256295204E-002;5.622894968837500E-004;-2.462889999151230E-003;
2.404833333333334E+009;1.741757839918137E-001;1.515185926109552E-002;5.427177529782057E-004;-2.754113869741559E-003;
2.405000000000000E+009;1.752863526344299E-001;1.455620769411326E-002;4.196865484118462E-004;-2.826286712661386E-003;
2.405166666666667E+009;1.761144548654556E-001;1.388300582766533E-002;2.445592544972897E-004;-3.053758060559630E-003;
2.405333333333334E+009;1.769965142011643E-001;1.334566995501518E-002;2.537462860345841E-004;-3.139087930321693E-003;
2.405500000000000E+009;1.777471750974655E-001;1.283815782517195E-002;-4.085562250111252E-005;-3.001828212291002E-003;
2.405666666666667E+009;1.782957315444946E-001;1.229257788509131E-002;-1.902656222227961E-004;-3.273386275395751E-003;
2.405833333333334E+009;1.787451207637787E-001;1.222384255379438E-002;-1.920729264384136E-004;-3.157647559419274E-003;
2.406000000000000E+009;1.793731451034546E-001;1.173086557537317E-002;-4.350154777057469E-004;-3.287156578153372E-003;
2.406166666666667E+009;1.798466295003891E-001;1.159762218594551E-002;-5.497834645211697E-004;-3.431624732911587E-003;
2.406333333333334E+009;1.801903992891312E-001;1.128599606454372E-002;-7.351493695750833E-004;-3.419391578063369E-003;
2.406500000000000E+009;1.802728474140167E-001;1.087962836027145E-002;-9.535013232380152E-004;-3.401640336960554E-003;
2.406666666666667E+009;1.805525869131088E-001;1.088409591466188E-002;-9.181739296764135E-004;-3.340024966746569E-003;
2.406833333333334E+009;1.806942522525787E-001;1.035883929580450E-002;-1.292401342652738E-003;-3.329833038151264E-003;
2.407000000000000E+009;1.808810383081436E-001;1.020815037190914E-002;-1.485938671976328E-003;-3.447877475991845E-003;
2.407166666666667E+009;1.808397620916367E-001;9.905834682285786E-003;-1.580037642270327E-003;-3.335532965138555E-003;
2.407333333333334E+009;1.805488765239716E-001;9.393163025379181E-003;-1.688376534730196E-003;-3.383328672498465E-003;
