# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S21;im:Trc2_S21;
2.400000000000000E+009;1.733270138502121E-001;4.983652010560036E-002;4.343276377767324E-003;-1.781835919246078E-003;
2.400166666666667E+009;1.738975942134857E-001;4.929746687412262E-002;4.372601862996817E-003;-1.973858801648021E-003;
2.400333333333334E+009;1.741546541452408E-001;4.855295643210411E-002;4.246313124895096E-003;-2.114892937242985E-003;
2.400500000000000E+009;1.746074706315994E-001;4.774039611220360E-002;4.061059094965458E-003;-2.332543488591909E-003;
2.400666666666667E+009;1.749268770217896E-001;4.705596715211868E-002;3.842998761683703E-003;-2.562392735853791E-003;
2.400833333333334E+009;1.751642823219299E-001;4.649563506245613E-002;3.904921934008598E-003;-2.833488164469600E-003;
2.401000000000000E+009;1.754202395677567E-001;4.592488706111908E-002;3.575347363948822E-003;-2.975392621010542E-003;
2.401166666666667E+009;1.752867847681046E-001;4.519806057214737E-002;3.364627948030829E-003;-3.226785687729716E-003;
2.401333333333334E+009;1.753222793340683E-001;4.447951167821884E-002;3.380751935765147E-003;-3.291224362328649E-003;
2.401500000000000E+009;1.754002124071121E-001;4.372072219848633E-002;3.103274852037430E-003;-3.458520397543907E-003;
2.401666666666667E+009;1.753803491592407E-001;4.309878870844841E-002;2.955922624096274E-003;-3.546895226463676E-003;
2.401833333333334E+009;1.753365397453308E-001;4.217135161161423E-002;2.639049431309104E-003;-3.698856336995959E-003;
2.402000000000000E+009;1.749430149793625E-001;4.118250682950020E-002;2.532801823690534E-003;-3.702270798385143E-003;
2.402166666666667E+009;1.748369336128235E-001;4.033984616398811E-002;2.470125444233418E-003;-3.817990887910128E-003;
2.402333333333334E+009;1.747602224349976E-001;3.937745466828346E-002;2.123281592503190E-003;-3.824432846158743E-003;
2.402500000000000E+009;1.745852530002594E-001;3.816682472825050E-002;1.870041596703231E-003;-3.812175244092941E-003;
2.402666666666667E+009;1.740774810314179E-001;3.713515400886536E-002;1.640441245399416E-003;-3.975887317210436E-003;
2.402833333333334E+009;1.739827245473862E-001;3.602103888988495E-002;1.386468182317913E-003;-4.021624103188515E-003;
2.403000000000000E+009;1.735516488552094E-001;3.478681296110153E-002;1.323247794061899E-003;-4.118334501981735E-003;
2.403166666666667E+009;1.735256314277649E-001;3.327613323926926E-002;1.045958022587001E-003;-3.938356880098581E-003;
2.403333333333334E+009;1.728777587413788E-001;3.172644227743149E-002;9.999967878684402E-004;-3.828774672001600E-003;
2.403500000000000E+009;1.724378466606140E-001;3.023585490882397E-002;7.247303146868944E-004;-3.838873002678156E-003;
2.403666666666667E+009;1.720621287822723E-001;2.854726463556290E-002;5.170275690034032E-004;-3.835614537820220E-003;
2.403833333333334E+009;1.718839108943939E-001;2.666123211383820E-002;2.622992324177176E-004;-3.684081602841616E-003;
2.404000000000000E+009;1.715288758277893E-001;2.514011599123478E-002;1.549878215882927E-004;-3.520072437822819E-003;
2.404166666666667E+009;1.710855066776276E-001;2.307140454649925E-002;-1.973010876099579E-005;-3.356022993102670E-003;
2.404333333333334E+009;1.706793904304504E-001;2.128056064248085E-002;1.002680583042093E-004;-3.157285507768393E-003;
2.404500000000000E+009;1.703281849622726E-001;1.919496804475784E-002;-1.479061120335246E-005;-3.172971541061997E-003;
2.404666666666667E+009;1.702376455068588E-001;1.731907017529011E-002;-8.873703336576000E-005;-3.060957416892052E-003;
2.404833333333334E+009;1.699866652488709E-001;1.536812633275986E-002;-6.326569564407691E-005;-2.965795807540417E-003;
2.405000000000000E+009;1.698282510042191E-001;1.322512608021498E-002;-4.050514689879492E-005;-2.840829081833363E-003;
2.405166666666667E+009;1.698778569698334E-001;1.117822155356407E-002;-2.126135368598625E-004;-2.828727941960096E-003;
2.405333333333334E+009;1.699093878269196E-001;9.122577495872974E-003;-2.213880070485175E-004;-2.760823816061020E-003;
2.405500000000000E+009;1.699839681386948E-001;7.023037411272526E-003;-1.627990714041516E-004;-2.675796626135707E-003;
2.405666666666667E+009;1.701212227344513E-001;5.132413934916258E-003;-2.248893433716148E-004;-2.879189094528556E-003;
2.405833333333334E+009;1.702171117067337E-001;3.023813245818019E-003;-3.530766407493502E-004;-2.760856645181775E-003;
2.406000000000000E+009;1.704971939325333E-001;8.008115109987557E-004;-2.649823727551848E-004;-2.797662513330579E-003;
2.406166666666667E+009;1.708231866359711E-001;-1.000318792648614E-003;-2.501841518096626E-004;-2.712039276957512E-003;
2.406333333333334E+009;1.713782995939255E-001;-3.031897591426969E-003;-2.775006287265569E-004;-2.709946129471064E-003;
2.406500000000000E+009;1.716801226139069E-001;-5.090129561722279E-003;-2.766336256172508E-004;-2.688169945031405E-003;
2.406666666666667E+009;1.720767617225647E-001;-6.976896431297064E-003;-3.638736961875111E-004;-2.684350591152906E-003;
2.406833333333334E+009;1.728765815496445E-001;-8.963626809418201E-003;-3.124303475487977E-004;-2.846148097887635E-003;
2.407000000000000E+009;1.735134422779083E-001;-1.096482854336500E-002;-5.353107699193060E-004;-2.686922904103994E-003;
2.407166666666667E+009;1.742815524339676E-001;-1.258259732276201E-002;-3.225415712222457E-004;-2.834457904100418E-003;
2.407333333333334E+009;1.748418658971787E-001;-1.445510610938072E-002;-3.607030375860632E-004;-2.814446575939655E-003;
2.407500000000000E+009;1.755105704069138E-001;-1.616821251809597E-002;-4.364910128060728E-004;-2.839076565578580E-003;
2.407666666666667E+009;1.762819290161133E-001;-1.774035580456257E-002;-5.401094094850123E-004;-2.834376413375139E-003;
2.407833333333334E+009;1.770444512367249E-001;-1.934226416051388E-002;-5.831248126924038E-004;-2.786905970424414E-003;
2.408000000000000E+009;1.777189671993256E-001;-2.091361209750176E-002;-6.647593108937144E-004;-2.984893508255482E-003;
2.408166666666667E+009;1.784910708665848E-001;-2.215706929564476E-002;-6.739581003785133E-004;-3.018484450876713E-003;
2.408333333333334E+009;1.794656962156296E-001;-2.366742305457592E-002;-8.086236775852740E-004;-3.053714986890554E-003;
2.408500000000000E+009;1.798641681671143E-001;-2.502133138477802E-002;-1.117474399507046E-003;-2.943083411082625E-003;
2.408666666666667E+009;1.805628985166550E-001;-2.625402808189392E-002;-1.182610052637756E-003;-3.246988635510206E-003;
2.408833333333334E+009;1.810209006071091E-001;-2.726595103740692E-002;-1.262990524992347E-003;-3.113631624728441E-003;
2.409000000000000E+009;1.814222335815430E-001;-2.814500592648983E-002;-1.537845004349947E-003;-3.284999402239919E-003;
2.409166666666667E+009;1.821004152297974E-001;-2.917292714118958E-002;-1.702616340480745E-003;-3.167986171320081E-003;
