# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S21;im:Trc2_S21;
2.400000000000000E+009;1.684344261884689E-001;4.089966416358948E-002;1.743439352139831E-003;-8.935364894568920E-004;
2.400166666666667E+009;1.690225303173065E-001;4.036871716380119E-002;1.940805348567665E-003;-1.119012595154345E-003;
2.400333333333334E+009;1.694567054510117E-001;3.946118429303169E-002;1.894557615742087E-003;-1.078003668226302E-003;
2.400500000000000E+009;1.700240522623062E-001;3.841447457671166E-002;1.994051504880190E-003;-1.183980028145015E-003;
2.400666666666667E+009;1.703966856002808E-001;3.746942430734634E-002;1.879159710370004E-003;-1.345912576653063E-003;
2.400833333333334E+009;1.709056794643402E-001;3.679879382252693E-002;1.912994077429175E-003;-1.478974591009319E-003;
2.401000000000000E+009;1.710711717605591E-001;3.579378500580788E-002;1.807484892196953E-003;-1.672470942139626E-003;
2.401166666666667E+009;1.712776124477387E-001;3.503613173961639E-002;1.654942869208753E-003;-1.677716034464538E-003;
2.401333333333334E+009;1.714984625577927E-001;3.431468456983566E-002;1.544054364785552E-003;-1.686331466771662E-003;
2.401500000000000E+009;1.716079264879227E-001;3.341385722160339E-002;1.552191679365933E-003;-1.921311370097101E-003;
2.401666666666667E+009;1.718784123659134E-001;3.252724185585976E-002;1.362288254313171E-003;-1.696192543022335E-003;
2.401833333333334E+009;1.718512326478958E-001;3.169078379869461E-002;1.282416633330286E-003;-1.766701694577932E-003;
2.402000000000000E+009;1.717193275690079E-001;3.095978498458862E-002;1.221276586875320E-003;-1.641142531298101E-003;
2.402166666666667E+009;1.719695031642914E-001;2.988776564598084E-002;1.184630673378706E-003;-1.729693380184472E-003;
2.402333333333334E+009;1.719762235879898E-001;2.892734855413437E-002;1.126841641962528E-003;-1.599760609678924E-003;
2.402500000000000E+009;1.719340384006500E-001;2.820397540926933E-002;1.253599300980568E-003;-1.751993317157030E-003;
2.402666666666667E+009;1.718856543302536E-001;2.715990319848061E-002;1.116586150601506E-003;-1.690285047516227E-003;
2.402833333333334E+009;1.717182844877243E-001;2.609011344611645E-002;1.202847692184150E-003;-1.693722326308489E-003;
2.403000000000000E+009;1.716279834508896E-001;2.497454732656479E-002;1.046921010129154E-003;-1.742083812132478E-003;
2.403166666666667E+009;1.715385615825653E-001;2.392374910414219E-002;1.061943708918989E-003;-1.701566856354475E-003;
2.403333333333334E+009;1.716183871030808E-001;2.285642363131046E-002;1.268169027753174E-003;-1.837960677221417E-003;
2.403500000000000E+009;1.711812317371368E-001;2.172807604074478E-002;1.119065913371742E-003;-1.765043940395117E-003;
2.403666666666667E+009;1.710220426321030E-001;2.049534581601620E-002;1.128006726503372E-003;-1.954758306965232E-003;
2.403833333333334E+009;1.711426377296448E-001;1.930439472198486E-002;1.206820015795529E-003;-2.116170478984714E-003;
2.404000000000000E+009;1.707958579063416E-001;1.808344572782517E-002;1.144199166446924E-003;-1.992269186303020E-003;
2.404166666666667E+009;1.706805676221848E-001;1.668977737426758E-002;1.149923889897764E-003;-2.152546076104045E-003;
2.404333333333334E+009;1.704902499914169E-001;1.532588340342045E-002;1.044240780174732E-003;-2.434152411296964E-003;
2.404500000000000E+009;1.703072637319565E-001;1.388824358582497E-002;9.314969647675753E-004;-2.360482700169087E-003;
2.404666666666667E+009;1.702206581830978E-001;1.263652555644512E-002;7.187527371570468E-004;-2.401595935225487E-003;
2.404833333333334E+009;1.702085137367249E-001;1.109057478606701E-002;8.819950162433088E-004;-2.672810107469559E-003;
2.405000000000000E+009;1.699685305356979E-001;9.671342559158802E-003;5.819931975565851E-004;-2.654335927218199E-003;
2.405166666666667E+009;1.700214296579361E-001;8.080353960394859E-003;7.056270842440426E-004;-2.639167243614793E-003;
2.405333333333334E+009;1.700964719057083E-001;6.443353835493326E-003;4.269444325473160E-004;-2.604426583275199E-003;
2.405500000000000E+009;1.699065417051315E-001;5.013907328248024E-003;3.998284810222685E-004;-2.790274797007442E-003;
2.405666666666667E+009;1.698617041110992E-001;3.352018538862467E-003;4.059692146256566E-004;-2.716665156185627E-003;
2.405833333333334E+009;1.696943789720535E-001;1.854451489634812E-003;2.224316704086959E-004;-2.934769960120320E-003;
2.406000000000000E+009;1.695391535758972E-001;3.973341517848894E-005;-2.748701626842376E-005;-2.968437038362026E-003;
2.406166666666667E+009;1.695047467947006E-001;-1.357503235340118E-003;-1.943564420798793E-004;-2.882773056626320E-003;
2.406333333333334E+009;1.696633994579315E-001;-3.065155586227775E-003;-3.139452019240707E-004;-3.021312411874533E-003;
2.406500000000000E+009;1.693309396505356E-001;-4.783418495208025E-003;-3.910734376404434E-004;-2.851221244782209E-003;
2.406666666666667E+009;1.691142469644547E-001;-6.112413946539164E-003;-6.365756271407008E-004;-2.838311018422246E-003;
2.406833333333334E+009;1.690847724676132E-001;-7.896609604358673E-003;-6.558278691954911E-004;-2.844153437763453E-003;
2.407000000000000E+009;1.690241545438767E-001;-9.352553635835648E-003;-7.800780585967004E-004;-2.614379394799471E-003;
2.407166666666667E+009;1.689235270023346E-001;-1.074596587568522E-002;-7.415860309265554E-004;-2.838707063347101E-003;
2.407333333333334E+009;1.686654090881348E-001;-1.228108070790768E-002;-8.965060696937144E-004;-2.531900070607662E-003;
2.407500000000000E+009;1.685947179794312E-001;-1.360957603901625E-002;-1.040594652295113E-003;-2.431566826999188E-003;
2.407666666666667E+009;1.685776859521866E-001;-1.481295004487038E-002;-8.586791227571666E-004;-2.455470152199268E-003;
2.407833333333334E+009;1.683092713356018E-001;-1.606317982077599E-002;-9.192714933305979E-004;-2.428946085274220E-003;
2.408000000000000E+009;1.681767255067825E-001;-1.731101609766483E-002;-1.010397914797068E-003;-2.402676502242684E-003;
2.408166666666667E+009;1.682005822658539E-001;-1.816521398723126E-002;-1.092176069505513E-003;-2.431627362966538E-003;
2.408333333333334E+009;1.685211658477783E-001;-1.922504417598248E-002;-1.019639195874333E-003;-2.636234043166041E-003;
2.408500000000000E+009;1.684087216854096E-001;-2.022162266075611E-002;-1.100144465453923E-003;-2.482964890077710E-003;
2.408666666666667E+009;1.684061139822006E-001;-2.117105387151241E-002;-1.198201556690037E-003;-2.557815983891487E-003;
2.408833333333334E+009;1.684728860855103E-001;-2.197478152811527E-002;-1.278994488529861E-003;-2.678189892321825E-003;
2.409000000000000E+009;1.685639768838882E-001;-2.284993603825569E-002;-1.327692531049252E-003;-2.629539696499705E-003;
2.409166666666667E+009;1.687649190425873E-001;-2.363731712102890E-002;-1.638467772863805E-003;-2.534380881115794E-003;
2.409333333333334E+009;1.688651889562607E-001;-2.467934414744377E-002;-1.921568065881729E-003;-2.638633130118251E-003;
2.409500000000000E+009;1.691313385963440E-001;-2.566159144043922E-002;-1.904555829241872E-003;-2.640050835907459E-003;
2.409666666666667E+009;1.691884100437164E-001;-2.647927217185497E-002;-2.150038955733180E-003;-2.312105381861329E-003;
2.409833333333334E+009;1.693700999021530E-001;-2.708555757999420E-002;-2.245186362415552E-003;-2.371959621086717E-003;
2.410000000000000E+009;1.695253849029541E-001;-2.809209935367107E-002;-2.545929281041026E-003;-2.218207111582160E-003;
2.410166666666667E+009;1.696641296148300E-001;-2.898561023175716E-002;-2.547913696616888E-003;-2.063173335045576E-003;
2.410333333333334E+009;1.695803552865982E-001;-2.981201745569706E-002;-2.545378636568785E-003;-1.981437439098954E-003;
2.410500000000000E+009;1.697683781385422E-001;-3.076677210628986E-002;-2.718291245400906E-003;-1.867053564637899E-003;
2.410666666666667E+009;1.695402711629868E-001;-3.167751058936119E-002;-2.877035411074758E-003;-1.702488632872701E-003;
2.410833333333334E+009;1.696248650550842E-001;-3.247233852744103E-002;-2.977669937536120E-003;-1.443759887479246E-003;
2.411000000000000E+009;1.695149242877960E-001;-3.312206268310547E-002;-2.676540054380894E-003;-1.346154720522463E-003;
2.411166666666667E+009;1.693853139877319E-001;-3.401839733123779E-002;-2.634928561747074E-003;-1.247684005647898E-003;
